step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 1e-06, n/a, 14.874, 0.005, 29.9, 62.7, 19.7
128, 2.07, 0.000125, 13.47, 9.92, 0.252, 58.9, 77.9, 47.3
256, 1.97, 0.00025, 9.15, 8.978, 0.563, 80.0, 89.2, 72.4
384, 2.06, 0.000375, 8.47, 8.219, 0.678, 85.7, 93.2, 79.2
512, 2.1, 0.0005, 7.73, 7.617, 0.722, 87.7, 94.8, 81.6
640, 1.95, 0.000625, 7.25, 7.239, 0.744, 88.7, 95.6, 82.7
768, 2.08, 0.00075, 6.92, 6.968, 0.749, 88.8, 96.3, 82.4
896, 1.92, 0.000875, 6.65, 6.774, 0.756, 89.1, 96.5, 82.8
1024, 2.03, 0.001, 6.49, 6.622, 0.756, 89.1, 96.5, 82.7
1152, 1.95, 0.0009821, 6.32, 6.475, 0.763, 89.4, 96.7, 83.2
1280, 2.04, 0.0009643, 6.17, 6.39, 0.763, 89.4, 96.8, 83.0
1408, 1.98, 0.0009464, 6.07, 6.326, 0.763, 89.4, 96.8, 83.0
1536, 2.05, 0.0009286, 5.98, 6.268, 0.764, 89.4, 96.9, 82.9
1664, 1.95, 0.0009107, 5.93, 6.206, 0.762, 89.2, 97.0, 82.6
1792, 1.98, 0.0008929, 5.83, 6.18, 0.763, 89.3, 97.1, 82.6
1920, 2.05, 0.000875, 5.77, 6.133, 0.765, 89.4, 97.0, 82.9
2048, 1.97, 0.0008571, 5.72, 6.057, 0.764, 89.3, 97.1, 82.7
2176, 1.98, 0.0008393, 5.65, 6.05, 0.763, 89.2, 97.2, 82.5
2304, 2.04, 0.0008214, 5.63, 6.042, 0.762, 89.2, 97.1, 82.4
2432, 1.99, 0.0008036, 5.56, 6.009, 0.764, 89.3, 97.2, 82.5
2560, 2.01, 0.0007857, 5.54, 5.96, 0.763, 89.2, 97.2, 82.5
2688, 2.01, 0.0007679, 5.51, 5.98, 0.766, 89.4, 97.2, 82.8
2816, 2.01, 0.00075, 5.44, 5.95, 0.765, 89.4, 97.2, 82.7
2944, 1.99, 0.0007321, 5.42, 5.907, 0.766, 89.4, 97.2, 82.8
3072, 1.97, 0.0007143, 5.4, 5.916, 0.764, 89.3, 97.3, 82.5
3200, 2.0, 0.0006964, 5.36, 5.901, 0.764, 89.2, 97.3, 82.4
3328, 1.98, 0.0006786, 5.36, 5.877, 0.766, 89.4, 97.3, 82.6
3456, 2.0, 0.0006607, 5.3, 5.868, 0.767, 89.4, 97.3, 82.7
3584, 1.99, 0.0006429, 5.29, 5.87, 0.766, 89.4, 97.3, 82.6
3712, 2.0, 0.000625, 5.26, 5.836, 0.765, 89.3, 97.3, 82.5
3840, 1.98, 0.0006071, 5.21, 5.853, 0.764, 89.3, 97.3, 82.4
3968, 2.04, 0.0005893, 5.24, 5.847, 0.765, 89.3, 97.3, 82.6
4096, 1.98, 0.0005714, 5.19, 5.826, 0.766, 89.4, 97.3, 82.6
4224, 1.98, 0.0005536, 5.18, 5.825, 0.766, 89.4, 97.3, 82.6
4352, 2.0, 0.0005357, 5.17, 5.82, 0.766, 89.4, 97.3, 82.6
4480, 1.98, 0.0005179, 5.13, 5.815, 0.768, 89.5, 97.3, 82.9
4608, 1.97, 0.0005, 5.13, 5.806, 0.766, 89.3, 97.3, 82.6
4736, 2.01, 0.0004821, 5.12, 5.803, 0.766, 89.4, 97.3, 82.6
4864, 2.04, 0.0004643, 5.08, 5.792, 0.766, 89.4, 97.3, 82.7
4992, 1.97, 0.0004464, 5.08, 5.798, 0.766, 89.4, 97.4, 82.6
5120, 2.02, 0.0004286, 5.06, 5.789, 0.767, 89.4, 97.3, 82.7
5248, 1.99, 0.0004107, 5.03, 5.8, 0.767, 89.4, 97.4, 82.6
5376, 1.99, 0.0003929, 5.03, 5.774, 0.768, 89.4, 97.4, 82.7
5504, 2.02, 0.000375, 5.01, 5.78, 0.768, 89.5, 97.3, 82.8
5632, 1.96, 0.0003571, 5.01, 5.767, 0.766, 89.4, 97.3, 82.6
5760, 1.99, 0.0003393, 4.98, 5.767, 0.767, 89.4, 97.3, 82.7
5888, 2.01, 0.0003214, 4.99, 5.77, 0.769, 89.5, 97.4, 82.8
6016, 2.0, 0.0003036, 4.97, 5.771, 0.768, 89.4, 97.4, 82.7
6144, 2.02, 0.0002857, 4.95, 5.772, 0.767, 89.4, 97.4, 82.7
6272, 1.94, 0.0002679, 4.94, 5.778, 0.767, 89.4, 97.4, 82.6
6400, 2.06, 0.00025, 4.95, 5.774, 0.768, 89.5, 97.4, 82.8
6528, 1.99, 0.0002321, 4.93, 5.777, 0.768, 89.5, 97.3, 82.8
6656, 1.98, 0.0002143, 4.92, 5.752, 0.768, 89.5, 97.4, 82.7
6784, 2.02, 0.0001964, 4.9, 5.762, 0.768, 89.5, 97.4, 82.7
6912, 1.97, 0.0001786, 4.93, 5.766, 0.767, 89.4, 97.4, 82.6
7040, 2.01, 0.0001607, 4.9, 5.752, 0.766, 89.4, 97.4, 82.6
7168, 2.0, 0.0001429, 4.86, 5.761, 0.768, 89.5, 97.3, 82.8
7296, 1.99, 0.000125, 4.89, 5.763, 0.768, 89.5, 97.4, 82.7
7424, 1.98, 0.0001071, 4.87, 5.764, 0.766, 89.4, 97.3, 82.7
7552, 2.01, 8.93e-05, 4.87, 5.749, 0.768, 89.4, 97.4, 82.7
7680, 1.99, 7.14e-05, 4.87, 5.76, 0.767, 89.4, 97.3, 82.6
7808, 2.08, 5.36e-05, 4.88, 5.752, 0.767, 89.4, 97.4, 82.7
7936, 1.94, 3.57e-05, 4.85, 5.752, 0.768, 89.5, 97.4, 82.8
8064, 2.02, 1.79e-05, 4.83, 5.753, 0.768, 89.4, 97.4, 82.7
8192, 1.99, 0.0, 4.85, 5.756, 0.768, 89.5, 97.4, 82.8
