step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 1e-06, n/a, 14.881, -0.003, 29.6, 62.0, 19.4
128, 2.02, 0.000125, 13.58, 10.029, 0.223, 49.7, 79.4, 36.2
256, 2.04, 0.00025, 9.15, 9.0, 0.498, 76.0, 87.4, 67.2
384, 2.02, 0.000375, 8.48, 8.19, 0.637, 83.2, 92.7, 75.5
512, 2.02, 0.0005, 7.73, 7.576, 0.698, 86.3, 94.7, 79.3
640, 2.04, 0.000625, 7.19, 7.197, 0.723, 87.5, 95.4, 80.9
768, 2.01, 0.00075, 6.83, 6.861, 0.735, 88.2, 95.7, 81.7
896, 2.04, 0.000875, 6.59, 6.66, 0.739, 88.2, 96.1, 81.5
1024, 2.02, 0.001, 6.37, 6.488, 0.74, 88.2, 96.4, 81.2
1152, 2.0, 0.0009821, 6.22, 6.45, 0.743, 88.2, 96.6, 81.2
1280, 2.01, 0.0009643, 6.13, 6.251, 0.746, 88.4, 96.7, 81.4
1408, 2.04, 0.0009464, 5.98, 6.211, 0.743, 88.2, 96.8, 81.0
1536, 2.02, 0.0009286, 5.89, 6.119, 0.746, 88.4, 96.8, 81.3
1664, 1.98, 0.0009107, 5.84, 6.08, 0.747, 88.4, 96.8, 81.4
1792, 1.97, 0.0008929, 5.73, 6.012, 0.749, 88.5, 96.9, 81.4
1920, 2.05, 0.000875, 5.72, 5.986, 0.747, 88.3, 97.1, 80.9
2048, 1.99, 0.0008571, 5.64, 5.955, 0.748, 88.4, 97.1, 81.1
2176, 2.03, 0.0008393, 5.58, 5.932, 0.75, 88.5, 97.1, 81.3
2304, 1.98, 0.0008214, 5.55, 5.944, 0.75, 88.5, 97.1, 81.2
2432, 2.03, 0.0008036, 5.5, 5.869, 0.75, 88.5, 97.1, 81.3
2560, 1.98, 0.0007857, 5.45, 5.83, 0.748, 88.3, 97.2, 80.9
2688, 2.02, 0.0007679, 5.43, 5.809, 0.749, 88.4, 97.2, 81.1
2816, 2.05, 0.00075, 5.36, 5.823, 0.749, 88.3, 97.3, 80.9
2944, 2.03, 0.0007321, 5.38, 5.789, 0.749, 88.4, 97.2, 81.0
3072, 1.96, 0.0007143, 5.31, 5.768, 0.75, 88.4, 97.3, 81.1
3200, 2.02, 0.0006964, 5.27, 5.774, 0.748, 88.3, 97.3, 80.9
3328, 2.03, 0.0006786, 5.31, 5.74, 0.749, 88.4, 97.3, 81.0
3456, 1.99, 0.0006607, 5.22, 5.72, 0.751, 88.5, 97.3, 81.1
3584, 2.01, 0.0006429, 5.21, 5.725, 0.75, 88.4, 97.3, 80.9
3712, 2.03, 0.000625, 5.18, 5.705, 0.752, 88.5, 97.3, 81.2
3840, 2.04, 0.0006071, 5.18, 5.692, 0.75, 88.4, 97.3, 81.0
3968, 1.99, 0.0005893, 5.14, 5.684, 0.751, 88.4, 97.3, 81.1
4096, 2.03, 0.0005714, 5.12, 5.689, 0.749, 88.3, 97.3, 80.8
4224, 1.95, 0.0005536, 5.08, 5.671, 0.748, 88.3, 97.3, 80.7
4352, 2.04, 0.0005357, 5.09, 5.659, 0.75, 88.4, 97.3, 81.0
4480, 2.03, 0.0005179, 5.06, 5.672, 0.751, 88.4, 97.3, 81.0
4608, 1.95, 0.0005, 5.06, 5.651, 0.75, 88.4, 97.4, 80.9
4736, 2.0, 0.0004821, 5.01, 5.652, 0.749, 88.3, 97.4, 80.8
4864, 2.04, 0.0004643, 4.99, 5.644, 0.751, 88.4, 97.4, 81.0
4992, 1.99, 0.0004464, 5.01, 5.648, 0.75, 88.3, 97.4, 80.8
5120, 1.96, 0.0004286, 4.94, 5.644, 0.75, 88.4, 97.3, 80.9
5248, 2.07, 0.0004107, 4.99, 5.641, 0.749, 88.3, 97.3, 80.9
5376, 2.01, 0.0003929, 4.94, 5.62, 0.75, 88.4, 97.4, 80.9
5504, 1.98, 0.000375, 4.9, 5.633, 0.75, 88.4, 97.4, 80.9
5632, 1.99, 0.0003571, 4.94, 5.619, 0.75, 88.4, 97.4, 80.9
5760, 2.02, 0.0003393, 4.89, 5.621, 0.751, 88.4, 97.4, 81.0
5888, 2.03, 0.0003214, 4.91, 5.63, 0.749, 88.3, 97.4, 80.9
6016, 2.0, 0.0003036, 4.87, 5.632, 0.75, 88.4, 97.4, 80.9
6144, 1.97, 0.0002857, 4.86, 5.626, 0.751, 88.4, 97.4, 81.0
6272, 2.04, 0.0002679, 4.88, 5.618, 0.75, 88.4, 97.4, 80.9
6400, 2.0, 0.00025, 4.84, 5.62, 0.751, 88.5, 97.4, 81.0
6528, 2.0, 0.0002321, 4.84, 5.609, 0.751, 88.4, 97.4, 81.0
6656, 2.0, 0.0002143, 4.82, 5.602, 0.75, 88.4, 97.4, 80.9
6784, 2.07, 0.0001964, 4.83, 5.615, 0.751, 88.4, 97.4, 80.9
6912, 1.96, 0.0001786, 4.8, 5.604, 0.75, 88.4, 97.4, 80.9
7040, 1.95, 0.0001607, 4.79, 5.603, 0.75, 88.4, 97.4, 80.9
