step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 6e-07, n/a, 14.87, -0.005, 29.5, 61.7, 19.4
128, 2.02, 7.5e-05, 14.18, 12.705, 0.17, 41.2, 77.6, 28.0
256, 2.01, 0.00015, 9.76, 9.224, 0.296, 64.8, 78.5, 55.1
384, 2.03, 0.000225, 8.88, 8.712, 0.57, 79.9, 90.0, 71.9
512, 1.98, 0.0003, 8.28, 8.087, 0.656, 84.2, 93.2, 76.8
640, 2.1, 0.000375, 7.69, 7.633, 0.703, 86.8, 94.3, 80.4
768, 2.04, 0.00045, 7.29, 7.296, 0.719, 87.3, 95.3, 80.6
896, 2.01, 0.000525, 6.96, 7.049, 0.731, 88.0, 95.5, 81.5
1024, 2.05, 0.0006, 6.76, 6.86, 0.737, 88.2, 95.8, 81.8
1152, 2.03, 0.0005893, 6.57, 6.698, 0.743, 88.5, 95.9, 82.2
1280, 2.09, 0.0005786, 6.41, 6.615, 0.745, 88.5, 96.2, 82.0
1408, 2.01, 0.0005679, 6.3, 6.487, 0.746, 88.6, 96.3, 82.0
1536, 2.06, 0.0005571, 6.2, 6.408, 0.748, 88.6, 96.4, 82.0
1664, 2.02, 0.0005464, 6.11, 6.374, 0.751, 88.8, 96.5, 82.3
1792, 2.07, 0.0005357, 6.02, 6.296, 0.752, 88.8, 96.5, 82.2
1920, 2.02, 0.000525, 5.96, 6.263, 0.753, 88.9, 96.5, 82.5
2048, 2.03, 0.0005143, 5.91, 6.201, 0.753, 88.9, 96.6, 82.3
2176, 2.1, 0.0005036, 5.86, 6.168, 0.752, 88.8, 96.6, 82.1
2304, 1.99, 0.0004929, 5.8, 6.14, 0.755, 89.0, 96.6, 82.4
2432, 2.09, 0.0004821, 5.73, 6.141, 0.754, 88.9, 96.6, 82.3
2560, 1.97, 0.0004714, 5.72, 6.104, 0.755, 88.9, 96.7, 82.3
2688, 2.09, 0.0004607, 5.68, 6.053, 0.755, 88.9, 96.7, 82.3
2816, 2.07, 0.00045, 5.61, 6.057, 0.757, 89.1, 96.7, 82.6
2944, 2.01, 0.0004393, 5.63, 6.013, 0.755, 88.9, 96.8, 82.3
3072, 2.09, 0.0004286, 5.57, 6.026, 0.755, 89.0, 96.7, 82.3
3200, 1.95, 0.0004179, 5.52, 5.991, 0.756, 89.0, 96.7, 82.4
3328, 2.06, 0.0004071, 5.53, 5.986, 0.757, 89.0, 96.8, 82.4
3456, 2.06, 0.0003964, 5.48, 5.982, 0.758, 89.1, 96.8, 82.5
3584, 2.05, 0.0003857, 5.44, 5.983, 0.758, 89.1, 96.8, 82.5
3712, 1.99, 0.000375, 5.44, 5.933, 0.757, 89.0, 96.9, 82.3
3840, 2.12, 0.0003643, 5.41, 5.949, 0.76, 89.2, 96.9, 82.6
3968, 1.98, 0.0003536, 5.4, 5.906, 0.758, 89.1, 96.9, 82.5
