step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 6e-07, n/a, 14.876, 0.007, 30.0, 62.9, 19.7
128, 2.04, 7.5e-05, 14.13, 12.272, 0.186, 42.2, 78.8, 28.8
256, 2.1, 0.00015, 9.63, 9.235, 0.303, 64.7, 79.1, 54.7
384, 2.01, 0.000225, 8.89, 8.734, 0.552, 79.0, 89.4, 70.8
512, 2.03, 0.0003, 8.3, 8.114, 0.637, 82.8, 93.4, 74.4
640, 2.04, 0.000375, 7.73, 7.618, 0.692, 85.8, 94.7, 78.4
768, 2.06, 0.00045, 7.27, 7.253, 0.717, 87.2, 95.4, 80.2
896, 1.97, 0.000525, 6.98, 6.971, 0.727, 87.6, 95.8, 80.7
1024, 2.11, 0.0006, 6.74, 6.825, 0.732, 87.8, 96.1, 80.9
1152, 2.01, 0.0005893, 6.51, 6.631, 0.737, 88.0, 96.2, 81.1
1280, 2.11, 0.0005786, 6.39, 6.492, 0.741, 88.2, 96.5, 81.2
1408, 2.05, 0.0005679, 6.25, 6.432, 0.743, 88.3, 96.6, 81.3
1536, 1.94, 0.0005571, 6.14, 6.377, 0.742, 88.2, 96.6, 81.1
1664, 2.12, 0.0005464, 6.09, 6.258, 0.745, 88.3, 96.8, 81.2
1792, 2.05, 0.0005357, 5.96, 6.228, 0.743, 88.1, 96.9, 80.7
1920, 2.06, 0.000525, 5.94, 6.159, 0.746, 88.3, 96.9, 81.1
2048, 2.01, 0.0005143, 5.85, 6.103, 0.747, 88.3, 97.0, 81.1
2176, 2.05, 0.0005036, 5.8, 6.076, 0.746, 88.3, 97.0, 81.0
2304, 2.06, 0.0004929, 5.77, 6.055, 0.746, 88.2, 97.1, 80.9
2432, 2.01, 0.0004821, 5.7, 6.028, 0.746, 88.2, 97.1, 80.9
2560, 2.14, 0.0004714, 5.66, 5.993, 0.751, 88.5, 97.1, 81.4
2688, 1.94, 0.0004607, 5.63, 5.955, 0.748, 88.4, 97.1, 81.0
2816, 2.03, 0.00045, 5.59, 5.97, 0.75, 88.5, 97.1, 81.3
2944, 2.04, 0.0004393, 5.53, 5.908, 0.748, 88.3, 97.2, 80.9
3072, 2.07, 0.0004286, 5.55, 5.905, 0.748, 88.4, 97.1, 81.0
3200, 2.0, 0.0004179, 5.5, 5.87, 0.749, 88.4, 97.2, 81.1
3328, 2.05, 0.0004071, 5.48, 5.861, 0.751, 88.5, 97.3, 81.1
3456, 2.0, 0.0003964, 5.43, 5.844, 0.75, 88.4, 97.3, 81.0
3584, 2.07, 0.0003857, 5.41, 5.836, 0.749, 88.3, 97.3, 80.9
3712, 2.04, 0.000375, 5.4, 5.825, 0.75, 88.4, 97.3, 81.0
3840, 2.04, 0.0003643, 5.37, 5.816, 0.75, 88.4, 97.3, 80.9
3968, 2.05, 0.0003536, 5.36, 5.796, 0.749, 88.4, 97.3, 80.9
4096, 2.07, 0.0003429, 5.31, 5.804, 0.748, 88.3, 97.3, 80.8
4224, 2.02, 0.0003321, 5.29, 5.794, 0.75, 88.4, 97.3, 80.9
4352, 2.01, 0.0003214, 5.3, 5.758, 0.748, 88.2, 97.4, 80.7
4480, 2.01, 0.0003107, 5.29, 5.771, 0.75, 88.4, 97.4, 80.9
4608, 2.12, 0.0003, 5.23, 5.773, 0.751, 88.4, 97.3, 81.0
4736, 2.0, 0.0002893, 5.23, 5.747, 0.751, 88.4, 97.4, 81.0
4864, 2.07, 0.0002786, 5.21, 5.748, 0.749, 88.3, 97.4, 80.8
4992, 1.99, 0.0002679, 5.2, 5.741, 0.75, 88.3, 97.4, 80.8
5120, 1.99, 0.0002571, 5.16, 5.732, 0.75, 88.4, 97.3, 81.0
5248, 2.03, 0.0002464, 5.18, 5.726, 0.75, 88.4, 97.4, 80.9
5376, 2.04, 0.0002357, 5.17, 5.735, 0.75, 88.4, 97.4, 80.9
5504, 2.05, 0.000225, 5.15, 5.736, 0.749, 88.3, 97.4, 80.8
5632, 2.07, 0.0002143, 5.12, 5.712, 0.75, 88.4, 97.4, 80.9
5760, 2.09, 0.0002036, 5.15, 5.717, 0.752, 88.5, 97.4, 81.0
5888, 1.98, 0.0001929, 5.09, 5.71, 0.749, 88.3, 97.3, 80.8
6016, 2.06, 0.0001821, 5.11, 5.696, 0.751, 88.4, 97.4, 80.9
6144, 2.01, 0.0001714, 5.05, 5.704, 0.751, 88.4, 97.4, 80.9
6272, 2.02, 0.0001607, 5.1, 5.702, 0.75, 88.4, 97.4, 80.9
6400, 2.05, 0.00015, 5.06, 5.696, 0.75, 88.3, 97.4, 80.8
6528, 2.01, 0.0001393, 5.05, 5.697, 0.75, 88.3, 97.4, 80.8
6656, 2.09, 0.0001286, 5.07, 5.699, 0.75, 88.4, 97.4, 80.9
6784, 2.0, 0.0001179, 5.02, 5.688, 0.751, 88.4, 97.4, 81.0
6912, 2.09, 0.0001071, 5.04, 5.692, 0.75, 88.3, 97.4, 80.8
7040, 2.06, 9.64e-05, 5.05, 5.69, 0.75, 88.3, 97.4, 80.8
7168, 2.02, 8.57e-05, 5.03, 5.684, 0.75, 88.4, 97.4, 80.9
7296, 2.01, 7.5e-05, 5.0, 5.689, 0.75, 88.4, 97.4, 80.9
7424, 2.06, 6.43e-05, 5.03, 5.684, 0.75, 88.4, 97.4, 80.9
7552, 2.09, 5.36e-05, 4.99, 5.682, 0.749, 88.3, 97.4, 80.8
7680, 1.99, 4.29e-05, 5.0, 5.686, 0.75, 88.3, 97.4, 80.8
7808, 2.1, 3.21e-05, 5.02, 5.688, 0.75, 88.3, 97.4, 80.8
7936, 2.14, 2.14e-05, 4.99, 5.686, 0.75, 88.3, 97.4, 80.8
8064, 2.05, 1.07e-05, 4.98, 5.686, 0.751, 88.4, 97.4, 80.9
8192, 2.07, 0.0, 5.01, 5.685, 0.749, 88.3, 97.4, 80.8
