step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 1e-06, n/a, 14.875, -0.003, 29.6, 61.9, 19.4
128, 2.11, 0.000125, 13.81, 10.362, 0.29, 64.4, 78.2, 54.7
256, 2.15, 0.00025, 9.16, 9.023, 0.312, 59.3, 83.0, 46.2
384, 2.01, 0.000375, 8.49, 8.254, 0.448, 66.8, 91.2, 52.7
512, 1.99, 0.0005, 7.78, 7.689, 0.509, 70.6, 94.2, 56.5
640, 2.03, 0.000625, 7.31, 7.321, 0.533, 71.9, 95.5, 57.7
768, 2.02, 0.00075, 7.0, 7.061, 0.559, 74.4, 95.7, 60.8
896, 2.04, 0.000875, 6.74, 6.834, 0.563, 74.3, 96.4, 60.4
1024, 2.03, 0.001, 6.5, 6.647, 0.562, 73.8, 96.8, 59.7
1152, 2.04, 0.0009821, 6.33, 6.459, 0.58, 75.5, 96.7, 62.0
1280, 1.98, 0.0009643, 6.13, 6.356, 0.593, 76.7, 96.9, 63.5
1408, 2.01, 0.0009464, 5.99, 6.24, 0.607, 77.9, 96.9, 65.1
1536, 2.11, 0.0009286, 5.87, 6.157, 0.617, 78.6, 97.2, 65.9
1664, 2.0, 0.0009107, 5.82, 6.077, 0.624, 79.1, 97.3, 66.7
1792, 2.03, 0.0008929, 5.68, 6.014, 0.648, 81.2, 97.2, 69.7
1920, 2.0, 0.000875, 5.61, 5.982, 0.632, 79.9, 97.2, 67.9
2048, 2.02, 0.0008571, 5.57, 5.934, 0.646, 81.0, 97.3, 69.4
2176, 1.97, 0.0008393, 5.5, 5.917, 0.652, 81.5, 97.3, 70.0
2304, 2.09, 0.0008214, 5.46, 5.883, 0.655, 81.7, 97.3, 70.4
2432, 2.03, 0.0008036, 5.38, 5.878, 0.663, 82.3, 97.4, 71.2
2560, 2.02, 0.0007857, 5.34, 5.837, 0.667, 82.6, 97.4, 71.6
2688, 2.06, 0.0007679, 5.34, 5.824, 0.657, 81.8, 97.4, 70.5
2816, 2.04, 0.00075, 5.26, 5.815, 0.668, 82.7, 97.4, 71.8
2944, 2.03, 0.0007321, 5.23, 5.798, 0.665, 82.5, 97.4, 71.5
3072, 2.03, 0.0007143, 5.2, 5.796, 0.66, 82.0, 97.5, 70.8
3200, 2.04, 0.0006964, 5.15, 5.766, 0.677, 83.3, 97.5, 72.8
3328, 2.01, 0.0006786, 5.16, 5.775, 0.667, 82.6, 97.4, 71.7
3456, 2.01, 0.0006607, 5.09, 5.758, 0.671, 82.9, 97.5, 72.0
3584, 2.08, 0.0006429, 5.09, 5.758, 0.676, 83.3, 97.5, 72.7
3712, 1.99, 0.000625, 5.07, 5.738, 0.682, 83.7, 97.5, 73.3
3840, 2.09, 0.0006071, 5.03, 5.744, 0.676, 83.3, 97.4, 72.7
3968, 1.96, 0.0005893, 5.04, 5.739, 0.678, 83.3, 97.6, 72.7
4096, 2.07, 0.0005714, 4.97, 5.727, 0.676, 83.3, 97.5, 72.7
4224, 1.9, 0.0005536, 4.97, 5.74, 0.678, 83.4, 97.4, 72.9
4352, 2.1, 0.0005357, 4.98, 5.721, 0.679, 83.4, 97.5, 72.9
4480, 2.05, 0.0005179, 4.92, 5.733, 0.678, 83.4, 97.5, 72.9
4608, 2.06, 0.0005, 4.93, 5.714, 0.679, 83.5, 97.4, 73.1
4736, 1.98, 0.0004821, 4.9, 5.716, 0.682, 83.7, 97.5, 73.3
4864, 2.04, 0.0004643, 4.89, 5.717, 0.68, 83.6, 97.5, 73.1
4992, 1.98, 0.0004464, 4.88, 5.706, 0.679, 83.5, 97.4, 73.1
5120, 2.01, 0.0004286, 4.84, 5.705, 0.685, 83.9, 97.5, 73.6
5248, 2.09, 0.0004107, 4.83, 5.709, 0.683, 83.8, 97.5, 73.4
5376, 1.99, 0.0003929, 4.85, 5.707, 0.678, 83.4, 97.5, 72.8
5504, 2.0, 0.000375, 4.8, 5.711, 0.68, 83.5, 97.5, 73.0
5632, 2.01, 0.0003571, 4.84, 5.704, 0.681, 83.6, 97.5, 73.2
5760, 2.01, 0.0003393, 4.76, 5.701, 0.688, 84.1, 97.5, 74.0
5888, 2.08, 0.0003214, 4.82, 5.698, 0.682, 83.7, 97.5, 73.3
6016, 1.99, 0.0003036, 4.76, 5.696, 0.685, 83.9, 97.5, 73.7
6144, 2.0, 0.0002857, 4.75, 5.692, 0.684, 83.8, 97.5, 73.5
6272, 2.07, 0.0002679, 4.76, 5.707, 0.684, 83.9, 97.4, 73.6
6400, 2.03, 0.00025, 4.74, 5.694, 0.682, 83.7, 97.5, 73.4
6528, 1.99, 0.0002321, 4.72, 5.694, 0.685, 83.9, 97.5, 73.7
6656, 2.02, 0.0002143, 4.75, 5.696, 0.685, 83.9, 97.5, 73.7
6784, 2.04, 0.0001964, 4.72, 5.692, 0.686, 84.0, 97.5, 73.8
6912, 1.96, 0.0001786, 4.71, 5.701, 0.682, 83.7, 97.5, 73.3
7040, 2.07, 0.0001607, 4.71, 5.69, 0.685, 83.9, 97.5, 73.7
7168, 2.02, 0.0001429, 4.71, 5.691, 0.684, 83.9, 97.5, 73.6
7296, 2.04, 0.000125, 4.68, 5.7, 0.684, 83.9, 97.4, 73.6
7424, 1.99, 0.0001071, 4.71, 5.698, 0.684, 83.9, 97.4, 73.6
7552, 2.02, 8.93e-05, 4.66, 5.69, 0.685, 83.9, 97.5, 73.7
7680, 2.03, 7.14e-05, 4.69, 5.691, 0.684, 83.9, 97.5, 73.6
7808, 1.97, 5.36e-05, 4.67, 5.695, 0.686, 84.0, 97.5, 73.8
7936, 2.1, 3.57e-05, 4.66, 5.698, 0.685, 83.9, 97.5, 73.7
8064, 2.04, 1.79e-05, 4.68, 5.695, 0.684, 83.9, 97.4, 73.6
8192, 2.05, 0.0, 4.66, 5.694, 0.686, 84.0, 97.5, 73.8
