step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 0.0029996, n/a, 6.108, -0.003, 13.0, 21.5, 9.3
128, 2.17, 0.0029531, 3.68, 3.239, 0.774, 82.4, 76.2, 89.8
256, 2.18, 0.0029062, 3.02, 2.877, 0.844, 87.9, 84.3, 91.8
384, 2.18, 0.0028594, 2.76, 2.687, 0.862, 89.3, 85.5, 93.5
512, 2.19, 0.0028125, 2.61, 2.607, 0.865, 89.5, 85.9, 93.4
640, 2.17, 0.0027656, 2.52, 2.488, 0.872, 90.0, 86.3, 94.1
768, 2.17, 0.0027188, 2.44, 2.431, 0.873, 90.1, 86.4, 94.2
896, 2.21, 0.0026719, 2.38, 2.372, 0.875, 90.3, 86.3, 94.6
1024, 2.18, 0.002625, 2.32, 2.324, 0.877, 90.4, 86.5, 94.7
1152, 2.11, 0.0025781, 2.27, 2.291, 0.877, 90.4, 86.4, 94.8
1280, 2.18, 0.0025313, 2.24, 2.259, 0.878, 90.5, 86.5, 94.8
1408, 2.18, 0.0024844, 2.2, 2.236, 0.878, 90.5, 86.4, 94.9
1536, 2.19, 0.0024375, 2.22, 2.225, 0.876, 90.3, 86.4, 94.6
1664, 2.13, 0.0023906, 2.14, 2.192, 0.877, 90.4, 86.3, 95.0
1792, 2.13, 0.0023437, 2.14, 2.177, 0.879, 90.5, 86.6, 94.9
1920, 2.21, 0.0022969, 2.11, 2.162, 0.879, 90.5, 86.6, 94.9
2048, 2.11, 0.00225, 2.08, 2.148, 0.879, 90.5, 86.5, 95.0
2176, 2.13, 0.0022031, 2.08, 2.14, 0.878, 90.5, 86.4, 95.0
2304, 2.16, 0.0021563, 2.07, 2.126, 0.879, 90.5, 86.4, 95.1
2432, 2.21, 0.0021094, 2.08, 2.12, 0.879, 90.5, 86.5, 95.0
2560, 2.17, 0.0020625, 2.05, 2.102, 0.88, 90.6, 86.5, 95.1
2688, 2.28, 0.0020156, 2.04, 2.1, 0.88, 90.7, 86.6, 95.1
2816, 2.36, 0.0019688, 2.02, 2.092, 0.88, 90.7, 86.6, 95.1
2944, 2.3, 0.0019219, 2.02, 2.091, 0.88, 90.6, 86.4, 95.2
3072, 2.3, 0.001875, 2.01, 2.086, 0.88, 90.6, 86.5, 95.1
3200, 2.19, 0.0018281, 1.99, 2.07, 0.88, 90.7, 86.5, 95.2
3328, 2.25, 0.0017813, 1.99, 2.062, 0.879, 90.6, 86.4, 95.1
3456, 2.27, 0.0017344, 1.97, 2.057, 0.881, 90.7, 86.6, 95.2
3584, 2.27, 0.0016875, 1.97, 2.053, 0.88, 90.6, 86.4, 95.3
3712, 2.17, 0.0016406, 1.96, 2.049, 0.88, 90.7, 86.5, 95.3
3840, 2.29, 0.0015938, 1.96, 2.047, 0.881, 90.7, 86.5, 95.3
3968, 2.33, 0.0015469, 1.97, 2.036, 0.88, 90.6, 86.4, 95.2
4096, 2.13, 0.0015, 1.93, 2.039, 0.88, 90.6, 86.4, 95.2
4224, 2.16, 0.0014531, 1.95, 2.031, 0.881, 90.7, 86.6, 95.2
4352, 2.22, 0.0014062, 1.94, 2.027, 0.881, 90.7, 86.5, 95.3
4480, 2.24, 0.0013594, 1.93, 2.023, 0.881, 90.7, 86.6, 95.2
4608, 2.14, 0.0013125, 1.93, 2.017, 0.881, 90.7, 86.5, 95.3
4736, 2.19, 0.0012656, 1.91, 2.018, 0.881, 90.7, 86.5, 95.3
4864, 2.2, 0.0012187, 1.91, 2.015, 0.881, 90.7, 86.5, 95.3
