step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 2e-06, n/a, 14.877, -0.004, 29.5, 61.8, 19.4
128, 3.13, 0.00025, 12.42, 9.318, 0.231, 60.9, 75.3, 51.2
256, 3.06, 0.0005, 8.8, 8.456, 0.622, 82.2, 92.4, 74.1
384, 3.09, 0.00075, 7.85, 7.615, 0.715, 87.1, 95.3, 80.1
512, 3.1, 0.001, 7.21, 7.169, 0.731, 87.7, 96.2, 80.6
640, 2.93, 0.00125, 6.82, 6.842, 0.74, 88.1, 96.6, 81.0
768, 3.08, 0.0015, 6.56, 6.644, 0.738, 87.8, 96.9, 80.2
896, 2.96, 0.00175, 6.36, 6.467, 0.733, 87.4, 97.3, 79.3
1024, 2.95, 0.002, 6.21, 6.371, 0.74, 87.7, 97.4, 79.8
1152, 3.06, 0.0019643, 6.06, 6.296, 0.733, 87.2, 97.7, 78.7
1280, 2.9, 0.0019286, 5.97, 6.174, 0.732, 87.0, 97.8, 78.3
1408, 2.99, 0.0018929, 5.86, 6.104, 0.729, 86.8, 97.8, 78.0
1536, 3.06, 0.0018571, 5.79, 6.12, 0.728, 86.7, 97.9, 77.8
1664, 2.95, 0.0018214, 5.72, 5.995, 0.728, 86.7, 98.0, 77.8
1792, 3.01, 0.0017857, 5.64, 5.985, 0.724, 86.3, 98.0, 77.1
1920, 3.0, 0.00175, 5.6, 5.989, 0.724, 86.4, 98.0, 77.2
2048, 2.98, 0.0017143, 5.54, 5.983, 0.725, 86.5, 98.0, 77.3
2176, 3.02, 0.0016786, 5.51, 5.902, 0.721, 86.2, 98.0, 76.9
2304, 2.97, 0.0016429, 5.48, 5.879, 0.72, 86.1, 98.0, 76.7
2432, 3.01, 0.0016071, 5.44, 5.862, 0.714, 85.6, 98.1, 75.9
2560, 2.97, 0.0015714, 5.38, 5.867, 0.715, 85.8, 98.0, 76.3
2688, 2.97, 0.0015357, 5.37, 5.806, 0.717, 85.9, 98.1, 76.3
2816, 2.99, 0.0015, 5.32, 5.815, 0.715, 85.8, 98.1, 76.2
2944, 3.01, 0.0014643, 5.3, 5.843, 0.715, 85.7, 98.1, 76.1
3072, 2.95, 0.0014286, 5.29, 5.779, 0.709, 85.3, 98.1, 75.5
3200, 2.98, 0.0013929, 5.26, 5.774, 0.712, 85.5, 98.2, 75.7
3328, 3.03, 0.0013571, 5.23, 5.781, 0.711, 85.5, 98.1, 75.7
3456, 3.0, 0.0013214, 5.2, 5.764, 0.709, 85.3, 98.1, 75.4
3584, 3.0, 0.0012857, 5.15, 5.76, 0.712, 85.5, 98.1, 75.8
3712, 3.03, 0.00125, 5.19, 5.747, 0.711, 85.4, 98.1, 75.6
3840, 2.97, 0.0012143, 5.14, 5.728, 0.709, 85.3, 98.1, 75.5
3968, 2.99, 0.0011786, 5.14, 5.723, 0.707, 85.2, 98.1, 75.3
4096, 3.02, 0.0011429, 5.1, 5.718, 0.707, 85.1, 98.1, 75.1
4224, 3.05, 0.0011071, 5.09, 5.718, 0.707, 85.2, 98.1, 75.3
4352, 2.93, 0.0010714, 5.06, 5.709, 0.707, 85.2, 98.1, 75.3
4480, 3.04, 0.0010357, 5.05, 5.701, 0.711, 85.4, 98.1, 75.6
4608, 2.88, 0.001, 5.02, 5.714, 0.701, 84.7, 98.1, 74.5
4736, 3.05, 0.0009643, 5.03, 5.71, 0.705, 85.0, 98.1, 75.0
4864, 3.06, 0.0009286, 5.02, 5.69, 0.708, 85.2, 98.1, 75.3
4992, 3.07, 0.0008929, 5.0, 5.681, 0.705, 85.1, 98.1, 75.1
5120, 2.99, 0.0008571, 4.97, 5.676, 0.705, 85.0, 98.1, 75.0
5248, 3.1, 0.0008214, 4.96, 5.688, 0.706, 85.1, 98.1, 75.1
5376, 2.95, 0.0007857, 4.95, 5.694, 0.705, 85.1, 98.1, 75.1
5504, 3.05, 0.00075, 4.95, 5.669, 0.703, 84.9, 98.1, 74.8
5632, 3.03, 0.0007143, 4.93, 5.675, 0.706, 85.1, 98.1, 75.2
5760, 3.04, 0.0006786, 4.92, 5.674, 0.706, 85.1, 98.1, 75.2
5888, 3.07, 0.0006429, 4.89, 5.668, 0.704, 85.0, 98.1, 75.0
6016, 2.93, 0.0006071, 4.9, 5.658, 0.702, 84.8, 98.1, 74.7
6144, 2.97, 0.0005714, 4.86, 5.663, 0.705, 85.0, 98.1, 75.0
6272, 3.05, 0.0005357, 4.91, 5.658, 0.703, 84.9, 98.1, 74.8
6400, 2.96, 0.0005, 4.87, 5.643, 0.705, 85.1, 98.1, 75.1
6528, 2.97, 0.0004643, 4.82, 5.654, 0.703, 84.9, 98.1, 74.9
6656, 2.98, 0.0004286, 4.88, 5.651, 0.705, 85.0, 98.1, 75.0
6784, 3.03, 0.0003929, 4.84, 5.643, 0.703, 84.9, 98.1, 74.8
6912, 2.98, 0.0003571, 4.82, 5.647, 0.702, 84.8, 98.1, 74.7
7040, 2.93, 0.0003214, 4.83, 5.645, 0.704, 85.0, 98.1, 75.0
7168, 2.95, 0.0002857, 4.79, 5.644, 0.702, 84.8, 98.1, 74.7
7296, 3.02, 0.00025, 4.84, 5.648, 0.705, 85.0, 98.1, 75.0
7424, 3.0, 0.0002143, 4.8, 5.645, 0.704, 84.9, 98.1, 74.9
7552, 2.94, 0.0001786, 4.79, 5.635, 0.703, 84.9, 98.1, 74.9
7680, 3.01, 0.0001429, 4.8, 5.645, 0.704, 84.9, 98.1, 74.9
7808, 3.06, 0.0001071, 4.77, 5.636, 0.703, 84.9, 98.0, 74.9
7936, 2.9, 7.14e-05, 4.79, 5.635, 0.702, 84.8, 98.0, 74.8
8064, 2.97, 3.57e-05, 4.78, 5.637, 0.705, 85.0, 98.1, 75.0
8192, 2.99, 0.0, 4.78, 5.635, 0.704, 84.9, 98.1, 74.9
