step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 6e-07, n/a, 14.875, 0.006, 30.0, 62.8, 19.7
128, 2.92, 7.5e-05, 14.44, 13.196, 0.115, 36.1, 73.2, 23.9
256, 3.0, 0.00015, 9.7, 9.248, 0.275, 60.7, 79.0, 49.2
384, 2.99, 0.000225, 8.87, 8.729, 0.458, 70.2, 89.2, 57.9
512, 2.93, 0.0003, 8.27, 8.16, 0.451, 66.1, 92.1, 51.6
640, 2.93, 0.000375, 7.75, 7.736, 0.503, 70.1, 94.1, 55.8
768, 2.94, 0.00045, 7.39, 7.449, 0.531, 72.0, 95.2, 57.9
896, 2.94, 0.000525, 7.12, 7.219, 0.543, 72.7, 95.9, 58.5
1024, 2.95, 0.0006, 6.91, 7.037, 0.543, 72.3, 96.3, 57.9
1152, 2.9, 0.0005893, 6.71, 6.825, 0.557, 73.6, 96.4, 59.5
1280, 2.95, 0.0005786, 6.55, 6.68, 0.565, 74.3, 96.6, 60.3
1408, 2.95, 0.0005679, 6.39, 6.579, 0.565, 74.1, 96.8, 60.0
1536, 2.86, 0.0005571, 6.28, 6.471, 0.575, 74.9, 96.9, 61.1
1664, 2.96, 0.0005464, 6.17, 6.376, 0.579, 75.3, 97.0, 61.5
1792, 2.89, 0.0005357, 6.05, 6.307, 0.593, 76.5, 97.1, 63.2
1920, 2.98, 0.000525, 6.01, 6.247, 0.6, 77.2, 97.1, 64.1
2048, 2.93, 0.0005143, 5.9, 6.175, 0.6, 77.1, 97.1, 64.0
2176, 2.94, 0.0005036, 5.85, 6.134, 0.622, 78.9, 97.3, 66.4
2304, 2.89, 0.0004929, 5.78, 6.101, 0.617, 78.6, 97.2, 65.9
2432, 2.98, 0.0004821, 5.72, 6.069, 0.628, 79.4, 97.4, 67.1
2560, 2.9, 0.0004714, 5.69, 6.03, 0.629, 79.5, 97.4, 67.1
2688, 2.94, 0.0004607, 5.64, 5.997, 0.64, 80.4, 97.4, 68.5
2816, 2.94, 0.00045, 5.57, 5.977, 0.643, 80.6, 97.4, 68.8
2944, 3.0, 0.0004393, 5.55, 5.954, 0.647, 80.9, 97.5, 69.2
3072, 2.89, 0.0004286, 5.53, 5.936, 0.65, 81.2, 97.5, 69.5
3200, 2.96, 0.0004179, 5.47, 5.908, 0.657, 81.8, 97.5, 70.4
3328, 2.91, 0.0004071, 5.46, 5.894, 0.651, 81.2, 97.6, 69.6
3456, 2.89, 0.0003964, 5.4, 5.878, 0.659, 81.9, 97.5, 70.6
3584, 2.98, 0.0003857, 5.4, 5.883, 0.662, 82.1, 97.5, 70.9
3712, 2.94, 0.000375, 5.36, 5.86, 0.661, 82.0, 97.6, 70.7
3840, 2.92, 0.0003643, 5.34, 5.837, 0.661, 82.0, 97.5, 70.8
3968, 2.96, 0.0003536, 5.33, 5.839, 0.664, 82.2, 97.5, 71.1
4096, 2.9, 0.0003429, 5.27, 5.827, 0.667, 82.5, 97.6, 71.5
4224, 2.93, 0.0003321, 5.29, 5.822, 0.667, 82.4, 97.6, 71.3
4352, 2.94, 0.0003214, 5.25, 5.811, 0.669, 82.6, 97.6, 71.6
4480, 2.86, 0.0003107, 5.24, 5.795, 0.678, 83.3, 97.7, 72.6
4608, 3.0, 0.0003, 5.22, 5.797, 0.674, 83.0, 97.5, 72.3
4736, 2.93, 0.0002893, 5.19, 5.788, 0.671, 82.7, 97.6, 71.7
4864, 2.98, 0.0002786, 5.19, 5.784, 0.672, 82.9, 97.6, 72.1
4992, 2.9, 0.0002679, 5.19, 5.771, 0.677, 83.2, 97.7, 72.4
