step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 6e-07, n/a, 14.876, 0.006, 30.0, 62.8, 19.7
128, 3.08, 7.5e-05, 14.14, 12.222, 0.187, 42.2, 79.0, 28.8
256, 3.14, 0.00015, 9.61, 9.229, 0.301, 64.4, 79.2, 54.3
384, 2.99, 0.000225, 8.88, 8.745, 0.552, 79.0, 89.4, 70.7
512, 3.04, 0.0003, 8.32, 8.129, 0.632, 82.5, 93.2, 73.9
640, 3.06, 0.000375, 7.75, 7.638, 0.693, 85.9, 94.8, 78.5
768, 3.07, 0.00045, 7.3, 7.273, 0.715, 87.0, 95.5, 79.8
896, 2.94, 0.000525, 7.0, 7.005, 0.726, 87.4, 96.1, 80.2
1024, 3.12, 0.0006, 6.77, 6.837, 0.731, 87.7, 96.2, 80.5
1152, 3.03, 0.0005893, 6.54, 6.648, 0.737, 88.0, 96.4, 80.9
1280, 3.11, 0.0005786, 6.43, 6.527, 0.737, 87.9, 96.7, 80.6
1408, 3.04, 0.0005679, 6.3, 6.435, 0.74, 88.0, 96.7, 80.7
1536, 2.94, 0.0005571, 6.18, 6.361, 0.74, 88.0, 96.8, 80.7
1664, 3.09, 0.0005464, 6.12, 6.301, 0.743, 88.1, 97.0, 80.7
1792, 3.04, 0.0005357, 6.01, 6.279, 0.739, 87.8, 97.2, 80.1
1920, 3.08, 0.000525, 5.99, 6.201, 0.743, 88.0, 97.1, 80.5
2048, 2.97, 0.0005143, 5.9, 6.151, 0.744, 88.1, 97.2, 80.6
2176, 3.03, 0.0005036, 5.86, 6.131, 0.74, 87.8, 97.3, 80.0
2304, 3.06, 0.0004929, 5.84, 6.105, 0.744, 88.0, 97.3, 80.4
2432, 2.97, 0.0004821, 5.77, 6.075, 0.742, 87.9, 97.3, 80.1
2560, 3.14, 0.0004714, 5.73, 6.035, 0.745, 88.1, 97.3, 80.5
2688, 2.92, 0.0004607, 5.7, 6.005, 0.742, 87.8, 97.4, 80.0
2816, 3.01, 0.00045, 5.67, 5.988, 0.745, 88.1, 97.4, 80.4
2944, 2.98, 0.0004393, 5.61, 5.973, 0.742, 87.8, 97.4, 79.9
3072, 3.04, 0.0004286, 5.63, 5.945, 0.744, 88.0, 97.4, 80.2
3200, 2.96, 0.0004179, 5.58, 5.915, 0.745, 88.1, 97.4, 80.4
3328, 3.0, 0.0004071, 5.56, 5.907, 0.744, 88.0, 97.4, 80.2
3456, 2.98, 0.0003964, 5.52, 5.887, 0.744, 87.9, 97.5, 80.1
3584, 3.03, 0.0003857, 5.5, 5.885, 0.742, 87.8, 97.5, 79.9
3712, 2.98, 0.000375, 5.5, 5.861, 0.744, 87.9, 97.5, 80.1
3840, 2.98, 0.0003643, 5.47, 5.857, 0.744, 87.9, 97.5, 80.0
3968, 2.99, 0.0003536, 5.46, 5.849, 0.742, 87.8, 97.5, 79.9
4096, 3.01, 0.0003429, 5.42, 5.846, 0.741, 87.8, 97.5, 79.8
4224, 2.95, 0.0003321, 5.4, 5.847, 0.742, 87.8, 97.5, 79.8
4352, 2.94, 0.0003214, 5.4, 5.823, 0.739, 87.6, 97.6, 79.5
