step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 9e-07, n/a, 14.876, 0.006, 30.0, 62.8, 19.7
128, 3.16, 0.0001125, 13.6, 10.086, 0.225, 47.8, 80.5, 34.0
256, 3.27, 0.000225, 9.2, 9.054, 0.452, 73.3, 85.8, 63.9
384, 3.0, 0.0003375, 8.6, 8.367, 0.63, 83.2, 91.9, 75.9
512, 3.05, 0.00045, 7.88, 7.702, 0.692, 85.9, 94.6, 78.6
640, 3.03, 0.0005625, 7.34, 7.266, 0.718, 87.2, 95.6, 80.1
768, 3.04, 0.000675, 6.95, 6.972, 0.728, 87.6, 96.0, 80.5
896, 2.93, 0.0007875, 6.71, 6.739, 0.735, 87.9, 96.4, 80.7
1024, 3.09, 0.0009, 6.52, 6.607, 0.738, 88.0, 96.5, 80.8
1152, 2.96, 0.0008839, 6.3, 6.448, 0.741, 88.1, 96.6, 81.0
1280, 3.09, 0.0008679, 6.22, 6.346, 0.742, 88.1, 96.9, 80.7
1408, 3.02, 0.0008518, 6.08, 6.273, 0.743, 88.0, 97.1, 80.5
1536, 2.92, 0.0008357, 5.98, 6.201, 0.74, 87.8, 97.2, 80.1
1664, 3.11, 0.0008196, 5.94, 6.139, 0.742, 87.9, 97.2, 80.3
1792, 3.03, 0.0008036, 5.83, 6.087, 0.741, 87.8, 97.3, 80.0
1920, 3.05, 0.0007875, 5.82, 6.062, 0.742, 87.9, 97.3, 80.1
2048, 2.98, 0.0007714, 5.72, 6.01, 0.742, 87.9, 97.4, 80.0
2176, 2.99, 0.0007554, 5.69, 6.073, 0.74, 87.7, 97.4, 79.8
2304, 3.0, 0.0007393, 5.67, 5.989, 0.741, 87.8, 97.5, 79.8
2432, 2.95, 0.0007232, 5.6, 5.953, 0.739, 87.6, 97.5, 79.5
2560, 3.09, 0.0007071, 5.57, 5.917, 0.742, 87.8, 97.5, 80.0
2688, 2.89, 0.0006911, 5.54, 5.885, 0.738, 87.5, 97.6, 79.4
2816, 2.99, 0.000675, 5.51, 5.867, 0.741, 87.7, 97.6, 79.7
2944, 2.98, 0.0006589, 5.44, 5.865, 0.736, 87.4, 97.6, 79.1
3072, 3.02, 0.0006429, 5.47, 5.84, 0.738, 87.5, 97.6, 79.4
3200, 2.95, 0.0006268, 5.42, 5.816, 0.74, 87.6, 97.6, 79.5
3328, 3.0, 0.0006107, 5.4, 5.815, 0.74, 87.6, 97.6, 79.4
3456, 2.94, 0.0005946, 5.35, 5.798, 0.737, 87.4, 97.7, 79.1
3584, 3.01, 0.0005786, 5.34, 5.792, 0.738, 87.5, 97.7, 79.2
3712, 2.97, 0.0005625, 5.34, 5.77, 0.738, 87.5, 97.7, 79.2
3840, 3.01, 0.0005464, 5.31, 5.775, 0.738, 87.5, 97.7, 79.2
3968, 3.01, 0.0005304, 5.3, 5.753, 0.736, 87.3, 97.7, 79.0
4096, 3.02, 0.0005143, 5.26, 5.754, 0.736, 87.4, 97.7, 79.0
4224, 2.97, 0.0004982, 5.24, 5.762, 0.736, 87.3, 97.7, 79.0
4352, 2.96, 0.0004821, 5.25, 5.738, 0.735, 87.2, 97.8, 78.7
4480, 2.96, 0.0004661, 5.25, 5.729, 0.736, 87.3, 97.8, 78.9
4608, 3.06, 0.00045, 5.19, 5.733, 0.734, 87.2, 97.8, 78.6
4736, 2.95, 0.0004339, 5.2, 5.705, 0.734, 87.2, 97.8, 78.7
4864, 3.0, 0.0004179, 5.17, 5.705, 0.735, 87.2, 97.8, 78.7
4992, 2.96, 0.0004018, 5.17, 5.7, 0.735, 87.2, 97.8, 78.7
5120, 2.93, 0.0003857, 5.12, 5.697, 0.733, 87.1, 97.8, 78.6
5248, 2.98, 0.0003696, 5.15, 5.691, 0.734, 87.2, 97.8, 78.6
5376, 2.98, 0.0003536, 5.14, 5.696, 0.732, 87.1, 97.8, 78.5
5504, 3.02, 0.0003375, 5.12, 5.69, 0.735, 87.2, 97.8, 78.7
5632, 3.03, 0.0003214, 5.09, 5.674, 0.733, 87.1, 97.8, 78.5
