step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 1e-06, n/a, 14.876, 0.007, 30.0, 62.9, 19.7
128, 3.06, 0.000125, 13.43, 9.806, 0.222, 54.5, 77.2, 42.1
256, 3.07, 0.00025, 9.15, 8.996, 0.485, 75.0, 87.2, 65.8
384, 2.98, 0.000375, 8.51, 8.234, 0.641, 83.4, 92.9, 75.6
512, 2.97, 0.0005, 7.78, 7.64, 0.699, 86.1, 95.2, 78.5
640, 3.01, 0.000625, 7.29, 7.256, 0.721, 87.1, 96.0, 79.8
768, 3.04, 0.00075, 6.94, 7.008, 0.731, 87.7, 96.2, 80.5
896, 2.92, 0.000875, 6.71, 6.815, 0.736, 87.9, 96.6, 80.6
1024, 3.09, 0.001, 6.54, 6.643, 0.74, 88.0, 96.6, 80.9
1152, 2.95, 0.0009821, 6.33, 6.553, 0.738, 87.8, 96.9, 80.3
1280, 3.07, 0.0009643, 6.25, 6.454, 0.738, 87.7, 97.2, 79.9
1408, 3.01, 0.0009464, 6.14, 6.382, 0.741, 87.8, 97.3, 80.1
1536, 2.85, 0.0009286, 6.04, 6.301, 0.739, 87.7, 97.3, 79.9
1664, 3.07, 0.0009107, 5.99, 6.262, 0.738, 87.6, 97.4, 79.5
1792, 3.0, 0.0008929, 5.89, 6.208, 0.733, 87.2, 97.6, 78.8
1920, 2.99, 0.000875, 5.87, 6.163, 0.739, 87.6, 97.5, 79.6
2048, 2.93, 0.0008571, 5.8, 6.146, 0.737, 87.4, 97.6, 79.1
2176, 2.99, 0.0008393, 5.75, 6.1, 0.739, 87.6, 97.5, 79.5
2304, 2.98, 0.0008214, 5.73, 6.068, 0.735, 87.3, 97.6, 78.9
2432, 2.93, 0.0008036, 5.67, 6.055, 0.735, 87.3, 97.7, 78.9
2560, 3.09, 0.0007857, 5.63, 6.026, 0.738, 87.5, 97.6, 79.3
2688, 2.85, 0.0007679, 5.61, 6.02, 0.735, 87.3, 97.7, 78.9
2816, 2.96, 0.00075, 5.57, 6.007, 0.736, 87.3, 97.7, 79.0
2944, 2.97, 0.0007321, 5.52, 5.976, 0.734, 87.2, 97.7, 78.7
3072, 3.0, 0.0007143, 5.54, 5.981, 0.735, 87.2, 97.7, 78.8
3200, 2.91, 0.0006964, 5.49, 5.957, 0.737, 87.4, 97.7, 79.1
3328, 2.97, 0.0006786, 5.48, 5.933, 0.736, 87.3, 97.8, 78.9
3456, 2.91, 0.0006607, 5.42, 5.939, 0.734, 87.2, 97.8, 78.7
3584, 2.99, 0.0006429, 5.42, 5.934, 0.732, 87.0, 97.8, 78.4
3712, 2.94, 0.000625, 5.42, 5.93, 0.736, 87.3, 97.8, 78.8
3840, 2.95, 0.0006071, 5.38, 5.89, 0.733, 87.1, 97.8, 78.5
3968, 2.95, 0.0005893, 5.38, 5.896, 0.733, 87.1, 97.8, 78.5
4096, 2.98, 0.0005714, 5.34, 5.89, 0.733, 87.1, 97.8, 78.5
4224, 2.93, 0.0005536, 5.32, 5.891, 0.731, 86.9, 97.9, 78.1
4352, 2.92, 0.0005357, 5.32, 5.87, 0.732, 87.0, 97.8, 78.3
4480, 2.91, 0.0005179, 5.32, 5.883, 0.732, 87.0, 97.9, 78.3
4608, 3.02, 0.0005, 5.27, 5.857, 0.733, 87.1, 97.8, 78.5
4736, 2.93, 0.0004821, 5.28, 5.88, 0.733, 87.1, 97.9, 78.4
4864, 3.01, 0.0004643, 5.26, 5.85, 0.733, 87.1, 97.8, 78.4
4992, 2.95, 0.0004464, 5.26, 5.846, 0.733, 87.1, 97.8, 78.5
5120, 2.9, 0.0004286, 5.21, 5.843, 0.733, 87.1, 97.8, 78.5
5248, 2.95, 0.0004107, 5.24, 5.843, 0.73, 86.9, 97.9, 78.1
5376, 3.0, 0.0003929, 5.22, 5.848, 0.732, 87.0, 97.9, 78.3
5504, 2.99, 0.000375, 5.2, 5.84, 0.735, 87.2, 97.9, 78.6
5632, 3.01, 0.0003571, 5.18, 5.852, 0.731, 86.9, 97.9, 78.2
5760, 3.07, 0.0003393, 5.2, 5.841, 0.733, 87.1, 97.8, 78.5
5888, 2.88, 0.0003214, 5.16, 5.825, 0.732, 87.0, 97.8, 78.4
6016, 3.01, 0.0003036, 5.17, 5.817, 0.732, 87.0, 97.9, 78.4
6144, 2.94, 0.0002857, 5.13, 5.816, 0.732, 87.0, 97.8, 78.3
6272, 2.95, 0.0002679, 5.16, 5.827, 0.734, 87.1, 97.8, 78.5
6400, 2.97, 0.00025, 5.13, 5.805, 0.731, 86.9, 97.9, 78.2
6528, 2.94, 0.0002321, 5.13, 5.804, 0.733, 87.1, 97.9, 78.4
6656, 3.01, 0.0002143, 5.14, 5.814, 0.734, 87.1, 97.9, 78.6
6784, 2.9, 0.0001964, 5.1, 5.81, 0.731, 87.0, 97.8, 78.3
6912, 2.99, 0.0001786, 5.12, 5.792, 0.732, 87.0, 97.9, 78.3
7040, 2.99, 0.0001607, 5.12, 5.808, 0.732, 87.0, 97.9, 78.3
7168, 2.93, 0.0001429, 5.1, 5.82, 0.731, 87.0, 97.9, 78.2
7296, 2.92, 0.000125, 5.08, 5.797, 0.732, 87.0, 97.9, 78.3
7424, 2.99, 0.0001071, 5.11, 5.797, 0.731, 86.9, 97.8, 78.2
7552, 2.99, 8.93e-05, 5.07, 5.792, 0.733, 87.0, 97.9, 78.4
7680, 2.88, 7.14e-05, 5.08, 5.799, 0.732, 87.0, 97.9, 78.3
7808, 3.0, 5.36e-05, 5.08, 5.81, 0.733, 87.0, 97.9, 78.3
7936, 3.04, 3.57e-05, 5.07, 5.803, 0.733, 87.0, 97.9, 78.3
8064, 2.92, 1.79e-05, 5.06, 5.794, 0.732, 87.0, 97.9, 78.3
8192, 2.96, 0.0, 5.08, 5.797, 0.732, 87.0, 97.9, 78.3
