step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 9e-07, n/a, 14.86, -0.001, 29.7, 62.1, 19.5
128, 2.98, 0.0001125, 13.82, 10.444, 0.305, 63.8, 79.8, 53.1
256, 3.14, 0.000225, 9.25, 9.068, 0.32, 62.6, 81.8, 50.8
384, 3.06, 0.0003375, 8.59, 8.353, 0.422, 64.4, 90.5, 50.0
512, 2.99, 0.00045, 7.86, 7.78, 0.493, 69.6, 93.5, 55.4
640, 3.12, 0.0005625, 7.41, 7.426, 0.528, 71.8, 95.2, 57.6
768, 3.05, 0.000675, 7.1, 7.168, 0.546, 72.9, 95.9, 58.8
896, 3.06, 0.0007875, 6.85, 6.961, 0.545, 72.4, 96.4, 58.0
1024, 3.18, 0.0009, 6.65, 6.752, 0.546, 72.1, 96.8, 57.5
1152, 3.03, 0.0008839, 6.41, 6.596, 0.559, 73.5, 96.8, 59.2
1280, 3.06, 0.0008679, 6.27, 6.455, 0.569, 74.3, 97.0, 60.2
1408, 3.02, 0.0008518, 6.14, 6.328, 0.575, 74.8, 97.1, 60.9
1536, 3.07, 0.0008357, 6.03, 6.238, 0.587, 75.8, 97.2, 62.2
1664, 2.95, 0.0008196, 5.89, 6.166, 0.598, 76.9, 97.2, 63.7
1792, 3.07, 0.0008036, 5.8, 6.094, 0.608, 77.8, 97.3, 64.8
1920, 3.0, 0.0007875, 5.73, 6.066, 0.608, 77.8, 97.2, 64.8
2048, 2.94, 0.0007714, 5.67, 6.022, 0.621, 78.9, 97.4, 66.3
2176, 2.98, 0.0007554, 5.58, 5.959, 0.626, 79.2, 97.4, 66.8
2304, 3.04, 0.0007393, 5.54, 5.95, 0.639, 80.3, 97.4, 68.3
2432, 2.98, 0.0007232, 5.48, 5.901, 0.64, 80.4, 97.4, 68.5
2560, 3.05, 0.0007071, 5.46, 5.895, 0.639, 80.4, 97.4, 68.4
2688, 3.03, 0.0006911, 5.4, 5.866, 0.647, 81.0, 97.4, 69.3
2816, 3.03, 0.000675, 5.32, 5.846, 0.651, 81.3, 97.4, 69.8
2944, 3.11, 0.0006589, 5.34, 5.828, 0.65, 81.3, 97.4, 69.7
3072, 3.12, 0.0006429, 5.28, 5.829, 0.652, 81.4, 97.4, 69.9
3200, 3.01, 0.0006268, 5.24, 5.821, 0.652, 81.3, 97.5, 69.8
3328, 3.09, 0.0006107, 5.25, 5.791, 0.652, 81.4, 97.4, 69.9
3456, 3.09, 0.0005946, 5.17, 5.776, 0.658, 81.9, 97.5, 70.6
3584, 2.89, 0.0005786, 5.17, 5.786, 0.659, 81.9, 97.5, 70.6
3712, 3.01, 0.0005625, 5.13, 5.761, 0.657, 81.8, 97.4, 70.4
3840, 3.04, 0.0005464, 5.11, 5.758, 0.662, 82.1, 97.6, 70.9
3968, 3.0, 0.0005304, 5.1, 5.761, 0.661, 82.1, 97.5, 70.9
4096, 2.99, 0.0005143, 5.07, 5.76, 0.659, 81.9, 97.5, 70.6
4224, 3.08, 0.0004982, 5.05, 5.734, 0.667, 82.6, 97.5, 71.6
4352, 2.98, 0.0004821, 5.03, 5.739, 0.663, 82.2, 97.5, 71.0
4480, 3.0, 0.0004661, 4.99, 5.723, 0.667, 82.6, 97.5, 71.6
4608, 2.99, 0.00045, 5.0, 5.722, 0.667, 82.6, 97.4, 71.6
4736, 2.97, 0.0004339, 4.98, 5.705, 0.668, 82.6, 97.6, 71.6
4864, 2.98, 0.0004179, 4.94, 5.734, 0.664, 82.3, 97.5, 71.2
4992, 3.09, 0.0004018, 4.96, 5.716, 0.672, 82.9, 97.5, 72.0
5120, 3.01, 0.0003857, 4.93, 5.706, 0.668, 82.6, 97.5, 71.7
5248, 2.96, 0.0003696, 4.92, 5.72, 0.664, 82.3, 97.5, 71.2
5376, 2.98, 0.0003536, 4.9, 5.705, 0.666, 82.5, 97.5, 71.5
5504, 3.02, 0.0003375, 4.87, 5.694, 0.668, 82.6, 97.6, 71.6
5632, 2.98, 0.0003214, 4.89, 5.711, 0.669, 82.6, 97.5, 71.7
5760, 3.04, 0.0003054, 4.86, 5.7, 0.67, 82.7, 97.5, 71.9
5888, 3.04, 0.0002893, 4.86, 5.703, 0.667, 82.5, 97.5, 71.5
6016, 3.05, 0.0002732, 4.84, 5.706, 0.67, 82.7, 97.6, 71.7
6144, 3.08, 0.0002571, 4.85, 5.709, 0.672, 82.9, 97.5, 72.0
6272, 3.02, 0.0002411, 4.82, 5.694, 0.669, 82.7, 97.5, 71.8
6400, 3.01, 0.000225, 4.81, 5.703, 0.671, 82.8, 97.6, 72.0
6528, 2.91, 0.0002089, 4.8, 5.698, 0.67, 82.7, 97.5, 71.9
6656, 2.99, 0.0001929, 4.82, 5.687, 0.672, 82.9, 97.5, 72.1
6784, 2.94, 0.0001768, 4.79, 5.701, 0.674, 83.0, 97.6, 72.3
6912, 3.01, 0.0001607, 4.78, 5.683, 0.67, 82.7, 97.5, 71.8
7040, 2.95, 0.0001446, 4.79, 5.69, 0.673, 83.0, 97.5, 72.2
7168, 2.98, 0.0001286, 4.75, 5.684, 0.673, 83.0, 97.5, 72.3
7296, 2.93, 0.0001125, 4.78, 5.696, 0.672, 82.8, 97.6, 72.0
7424, 2.99, 9.64e-05, 4.78, 5.695, 0.671, 82.8, 97.5, 71.9
7552, 2.92, 8.04e-05, 4.75, 5.694, 0.672, 82.9, 97.6, 72.1
7680, 2.96, 6.43e-05, 4.76, 5.691, 0.67, 82.7, 97.5, 71.8
7808, 3.03, 4.82e-05, 4.72, 5.695, 0.672, 82.9, 97.5, 72.1
7936, 2.86, 3.21e-05, 4.77, 5.693, 0.672, 82.9, 97.5, 72.1
8064, 3.04, 1.61e-05, 4.73, 5.69, 0.672, 82.9, 97.5, 72.1
8192, 2.86, 0.0, 4.75, 5.691, 0.673, 83.0, 97.5, 72.2
