step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 1e-06, n/a, 14.877, -0.004, 29.5, 61.8, 19.4
128, 2.97, 0.000125, 13.53, 9.813, 0.212, 53.4, 76.8, 41.0
256, 2.84, 0.00025, 9.13, 8.996, 0.506, 76.2, 87.9, 67.3
384, 2.9, 0.000375, 8.51, 8.267, 0.651, 84.0, 93.1, 76.5
512, 2.95, 0.0005, 7.78, 7.649, 0.709, 86.9, 95.0, 80.1
640, 2.83, 0.000625, 7.25, 7.244, 0.728, 87.7, 95.7, 81.0
768, 2.96, 0.00075, 6.89, 6.912, 0.733, 87.9, 96.0, 81.1
896, 2.88, 0.000875, 6.64, 6.71, 0.739, 88.1, 96.4, 81.1
1024, 2.85, 0.001, 6.44, 6.638, 0.746, 88.5, 96.5, 81.7
1152, 2.95, 0.0009821, 6.28, 6.439, 0.741, 88.1, 96.8, 80.8
1280, 2.81, 0.0009643, 6.16, 6.336, 0.745, 88.2, 96.9, 81.0
1408, 2.9, 0.0009464, 6.04, 6.253, 0.744, 88.1, 97.0, 80.7
1536, 2.96, 0.0009286, 5.97, 6.312, 0.745, 88.2, 97.1, 80.8
1664, 2.86, 0.0009107, 5.9, 6.123, 0.741, 87.8, 97.3, 80.1
1792, 2.91, 0.0008929, 5.82, 6.133, 0.744, 88.0, 97.3, 80.4
1920, 2.86, 0.000875, 5.77, 6.048, 0.747, 88.2, 97.3, 80.7
2048, 2.89, 0.0008571, 5.7, 6.013, 0.747, 88.2, 97.4, 80.6
2176, 2.92, 0.0008393, 5.67, 5.975, 0.743, 87.9, 97.4, 80.1
2304, 2.88, 0.0008214, 5.63, 5.949, 0.743, 87.9, 97.4, 80.1
2432, 2.91, 0.0008036, 5.59, 5.933, 0.739, 87.6, 97.5, 79.6
2560, 2.87, 0.0007857, 5.54, 5.934, 0.744, 87.9, 97.5, 80.1
2688, 2.86, 0.0007679, 5.52, 5.875, 0.743, 87.9, 97.5, 80.0
2816, 2.88, 0.00075, 5.48, 5.873, 0.745, 87.9, 97.6, 80.0
2944, 2.9, 0.0007321, 5.46, 5.852, 0.744, 87.9, 97.6, 80.0
3072, 2.86, 0.0007143, 5.43, 5.828, 0.743, 87.8, 97.7, 79.7
3200, 2.87, 0.0006964, 5.4, 5.838, 0.743, 87.8, 97.6, 79.9
3328, 2.91, 0.0006786, 5.37, 5.813, 0.74, 87.6, 97.6, 79.5
3456, 2.88, 0.0006607, 5.34, 5.818, 0.743, 87.8, 97.6, 79.8
3584, 2.93, 0.0006429, 5.3, 5.793, 0.741, 87.7, 97.7, 79.5
3712, 3.04, 0.000625, 5.33, 5.795, 0.742, 87.8, 97.7, 79.7
3840, 3.0, 0.0006071, 5.29, 5.766, 0.743, 87.8, 97.7, 79.7
3968, 3.03, 0.0005893, 5.28, 5.754, 0.742, 87.7, 97.7, 79.6
4096, 3.06, 0.0005714, 5.25, 5.749, 0.74, 87.6, 97.7, 79.4
4224, 3.1, 0.0005536, 5.24, 5.757, 0.739, 87.6, 97.7, 79.4
4352, 2.95, 0.0005357, 5.21, 5.733, 0.738, 87.5, 97.7, 79.2
4480, 3.07, 0.0005179, 5.2, 5.72, 0.741, 87.7, 97.7, 79.5
4608, 2.9, 0.0005, 5.17, 5.728, 0.738, 87.4, 97.7, 79.1
4736, 2.91, 0.0004821, 5.18, 5.728, 0.74, 87.6, 97.7, 79.4
4864, 2.93, 0.0004643, 5.17, 5.709, 0.738, 87.4, 97.7, 79.1
4992, 2.95, 0.0004464, 5.14, 5.712, 0.739, 87.5, 97.7, 79.2
5120, 2.88, 0.0004286, 5.12, 5.7, 0.738, 87.5, 97.7, 79.2
5248, 2.95, 0.0004107, 5.12, 5.693, 0.739, 87.5, 97.7, 79.2
5376, 2.85, 0.0003929, 5.1, 5.693, 0.739, 87.5, 97.7, 79.3
5504, 2.92, 0.000375, 5.1, 5.681, 0.736, 87.3, 97.7, 78.9
5632, 2.92, 0.0003571, 5.08, 5.695, 0.74, 87.6, 97.7, 79.4
5760, 2.87, 0.0003393, 5.08, 5.691, 0.737, 87.4, 97.7, 79.1
5888, 3.0, 0.0003214, 5.05, 5.689, 0.739, 87.5, 97.7, 79.2
6016, 2.84, 0.0003036, 5.05, 5.681, 0.737, 87.4, 97.7, 79.0
6144, 2.87, 0.0002857, 5.02, 5.661, 0.738, 87.4, 97.7, 79.2
6272, 2.98, 0.0002679, 5.07, 5.672, 0.738, 87.4, 97.7, 79.1
6400, 2.9, 0.00025, 5.03, 5.66, 0.739, 87.5, 97.7, 79.3
6528, 2.91, 0.0002321, 4.99, 5.663, 0.737, 87.4, 97.7, 79.1
6656, 2.88, 0.0002143, 5.04, 5.66, 0.738, 87.5, 97.7, 79.2
6784, 2.95, 0.0001964, 5.0, 5.66, 0.739, 87.5, 97.7, 79.2
6912, 2.89, 0.0001786, 4.99, 5.657, 0.736, 87.4, 97.7, 79.0
7040, 2.87, 0.0001607, 5.0, 5.66, 0.736, 87.4, 97.7, 79.0
