step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 6e-07, n/a, 14.872, 0.006, 30.0, 62.8, 19.7
128, 3.09, 7.5e-05, 14.16, 12.371, 0.183, 42.2, 78.5, 28.9
256, 2.93, 0.00015, 9.66, 9.234, 0.3, 64.7, 78.9, 54.8
384, 3.06, 0.000225, 8.88, 8.738, 0.571, 79.8, 90.3, 71.6
512, 3.07, 0.0003, 8.29, 8.131, 0.678, 85.7, 93.1, 79.4
640, 2.92, 0.000375, 7.73, 7.663, 0.719, 87.7, 94.5, 81.7
768, 3.1, 0.00045, 7.32, 7.311, 0.734, 88.2, 95.2, 82.2
896, 2.96, 0.000525, 6.99, 7.045, 0.736, 88.1, 96.0, 81.4
1024, 3.03, 0.0006, 6.77, 6.812, 0.739, 88.2, 96.2, 81.4
1152, 2.95, 0.0005893, 6.57, 6.65, 0.743, 88.3, 96.4, 81.5
1280, 3.07, 0.0005786, 6.4, 6.542, 0.745, 88.4, 96.5, 81.6
1408, 2.99, 0.0005679, 6.29, 6.458, 0.745, 88.4, 96.6, 81.5
1536, 3.06, 0.0005571, 6.19, 6.381, 0.747, 88.5, 96.7, 81.6
1664, 2.94, 0.0005464, 6.14, 6.296, 0.748, 88.5, 96.8, 81.4
1792, 2.99, 0.0005357, 6.04, 6.276, 0.747, 88.4, 96.8, 81.3
1920, 3.07, 0.000525, 5.98, 6.221, 0.75, 88.6, 96.9, 81.6
2048, 2.94, 0.0005143, 5.92, 6.169, 0.749, 88.4, 97.1, 81.2
2176, 2.96, 0.0005036, 5.86, 6.125, 0.75, 88.6, 97.0, 81.5
2304, 2.99, 0.0004929, 5.83, 6.117, 0.75, 88.5, 97.0, 81.4
2432, 2.94, 0.0004821, 5.78, 6.072, 0.751, 88.5, 97.1, 81.4
2560, 2.94, 0.0004714, 5.75, 6.06, 0.748, 88.4, 97.1, 81.1
2688, 2.96, 0.0004607, 5.72, 6.021, 0.752, 88.6, 97.1, 81.5
2816, 2.98, 0.00045, 5.67, 6.011, 0.751, 88.5, 97.1, 81.3
2944, 2.93, 0.0004393, 5.64, 5.971, 0.751, 88.5, 97.2, 81.2
3072, 2.92, 0.0004286, 5.62, 5.96, 0.751, 88.5, 97.2, 81.2
3200, 2.96, 0.0004179, 5.58, 5.938, 0.75, 88.5, 97.2, 81.1
3328, 2.94, 0.0004071, 5.58, 5.926, 0.752, 88.5, 97.3, 81.2
3456, 2.96, 0.0003964, 5.54, 5.909, 0.753, 88.6, 97.3, 81.4
3584, 2.94, 0.0003857, 5.51, 5.906, 0.751, 88.4, 97.4, 81.0
3712, 2.94, 0.000375, 5.49, 5.887, 0.752, 88.5, 97.3, 81.2
3840, 2.92, 0.0003643, 5.46, 5.876, 0.751, 88.4, 97.4, 81.0
3968, 2.98, 0.0003536, 5.48, 5.869, 0.751, 88.4, 97.4, 81.0
4096, 2.91, 0.0003429, 5.42, 5.865, 0.751, 88.4, 97.4, 81.0
4224, 2.89, 0.0003321, 5.43, 5.842, 0.752, 88.5, 97.4, 81.1
4352, 2.89, 0.0003214, 5.41, 5.842, 0.752, 88.5, 97.4, 81.1
4480, 2.86, 0.0003107, 5.39, 5.836, 0.752, 88.5, 97.4, 81.1
4608, 2.85, 0.0003, 5.38, 5.825, 0.751, 88.4, 97.4, 81.0
4736, 2.88, 0.0002893, 5.37, 5.814, 0.752, 88.5, 97.4, 81.0
4864, 2.91, 0.0002786, 5.34, 5.802, 0.751, 88.4, 97.4, 80.9
4992, 2.84, 0.0002679, 5.33, 5.79, 0.751, 88.4, 97.4, 81.0
5120, 2.9, 0.0002571, 5.33, 5.788, 0.752, 88.4, 97.5, 81.0
5248, 2.86, 0.0002464, 5.3, 5.79, 0.75, 88.4, 97.4, 80.8
5376, 2.89, 0.0002357, 5.29, 5.772, 0.752, 88.5, 97.5, 81.0
5504, 2.89, 0.000225, 5.29, 5.775, 0.752, 88.5, 97.4, 81.0
5632, 2.81, 0.0002143, 5.28, 5.769, 0.751, 88.4, 97.5, 80.8
5760, 2.87, 0.0002036, 5.26, 5.773, 0.75, 88.3, 97.5, 80.8
5888, 2.98, 0.0001929, 5.27, 5.765, 0.751, 88.4, 97.5, 80.9
6016, 2.9, 0.0001821, 5.25, 5.773, 0.749, 88.3, 97.5, 80.7
6144, 2.89, 0.0001714, 5.24, 5.757, 0.752, 88.4, 97.5, 80.9
6272, 2.8, 0.0001607, 5.23, 5.753, 0.751, 88.4, 97.5, 80.8
6400, 2.93, 0.00015, 5.24, 5.758, 0.75, 88.4, 97.4, 80.9
6528, 2.87, 0.0001393, 5.22, 5.751, 0.751, 88.4, 97.5, 80.9
6656, 2.86, 0.0001286, 5.21, 5.742, 0.751, 88.4, 97.5, 80.8
6784, 2.91, 0.0001179, 5.2, 5.743, 0.75, 88.4, 97.5, 80.8
6912, 2.86, 0.0001071, 5.22, 5.741, 0.75, 88.3, 97.5, 80.7
7040, 2.9, 9.64e-05, 5.2, 5.745, 0.749, 88.3, 97.5, 80.7
7168, 2.88, 8.57e-05, 5.17, 5.74, 0.75, 88.3, 97.5, 80.7
7296, 2.86, 7.5e-05, 5.19, 5.733, 0.751, 88.4, 97.5, 80.8
7424, 2.86, 6.43e-05, 5.18, 5.735, 0.751, 88.4, 97.5, 80.8
7552, 2.89, 5.36e-05, 5.18, 5.736, 0.75, 88.3, 97.5, 80.7
7680, 2.88, 4.29e-05, 5.18, 5.74, 0.751, 88.4, 97.5, 80.8
7808, 2.99, 3.21e-05, 5.2, 5.735, 0.751, 88.3, 97.5, 80.7
7936, 2.82, 2.14e-05, 5.16, 5.732, 0.749, 88.3, 97.4, 80.7
