step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 4.9e-06, n/a, 6.142, 0.03, 15.6, 25.8, 11.2
128, 1.89, 0.000625, 4.8, 3.956, 0.121, 33.6, 30.0, 38.3
256, 1.92, 0.00125, 3.73, 3.56, 0.206, 39.2, 36.5, 42.5
384, 1.94, 0.001875, 3.39, 3.281, 0.317, 47.7, 44.3, 51.8
512, 1.9, 0.0025, 3.19, 3.19, 0.448, 57.3, 55.3, 59.5
640, 1.89, 0.003125, 3.02, 2.897, 0.657, 73.2, 73.6, 72.7
768, 1.94, 0.00375, 2.77, 2.689, 0.749, 80.2, 82.4, 78.1
896, 1.92, 0.004375, 2.61, 2.573, 0.779, 82.5, 85.0, 80.3
1024, 1.87, 0.005, 2.52, 2.536, 0.786, 83.1, 85.9, 80.6
1152, 1.92, 0.0049107, 2.49, 2.506, 0.821, 85.8, 89.9, 82.0
1280, 1.9, 0.0048214, 2.43, 2.45, 0.823, 85.8, 90.7, 81.4
1408, 1.91, 0.0047321, 2.4, 2.429, 0.827, 86.1, 90.9, 81.8
1536, 1.87, 0.0046429, 2.41, 2.413, 0.829, 86.3, 91.0, 82.1
1664, 1.89, 0.0045536, 2.38, 2.401, 0.826, 86.1, 91.1, 81.5
1792, 1.9, 0.0044643, 2.35, 2.387, 0.825, 86.0, 91.1, 81.4
1920, 1.92, 0.004375, 2.35, 2.382, 0.827, 86.2, 91.1, 81.7
2048, 1.91, 0.0042857, 2.33, 2.37, 0.828, 86.2, 91.3, 81.6
2176, 1.92, 0.0041964, 2.33, 2.364, 0.823, 85.8, 91.3, 80.9
2304, 1.88, 0.0041071, 2.32, 2.359, 0.822, 85.7, 91.3, 80.8
2432, 1.89, 0.0040179, 2.31, 2.357, 0.822, 85.7, 91.3, 80.7
2560, 1.86, 0.0039286, 2.32, 2.348, 0.824, 85.8, 91.4, 80.9
2688, 1.92, 0.0038393, 2.31, 2.345, 0.824, 85.8, 91.4, 80.8
2816, 1.9, 0.00375, 2.3, 2.345, 0.823, 85.8, 91.4, 80.8
2944, 1.9, 0.0036607, 2.31, 2.346, 0.824, 85.8, 91.5, 80.8
3072, 1.9, 0.0035714, 2.29, 2.339, 0.824, 85.8, 91.6, 80.7
3200, 1.88, 0.0034821, 2.29, 2.337, 0.825, 85.9, 91.6, 80.8
3328, 1.9, 0.0033929, 2.3, 2.329, 0.824, 85.8, 91.7, 80.6
3456, 1.93, 0.0033036, 2.29, 2.329, 0.821, 85.5, 91.7, 80.2
3584, 1.86, 0.0032143, 2.28, 2.325, 0.823, 85.7, 91.7, 80.5
3712, 1.91, 0.003125, 2.3, 2.343, 0.819, 85.3, 91.6, 79.8
3840, 1.92, 0.0030357, 2.27, 2.323, 0.821, 85.5, 91.7, 80.1
3968, 1.9, 0.0029464, 2.27, 2.325, 0.821, 85.6, 91.8, 80.2
4096, 1.91, 0.0028571, 2.27, 2.316, 0.821, 85.5, 91.8, 80.0
4224, 1.93, 0.0027679, 2.28, 2.317, 0.822, 85.6, 91.8, 80.2
4352, 1.87, 0.0026786, 2.27, 2.31, 0.822, 85.6, 91.8, 80.2
4480, 1.88, 0.0025893, 2.26, 2.312, 0.819, 85.4, 91.8, 79.8
4608, 1.94, 0.0025, 2.26, 2.312, 0.82, 85.4, 91.7, 79.9
4736, 1.88, 0.0024107, 2.26, 2.311, 0.82, 85.4, 91.8, 79.9
4864, 1.88, 0.0023214, 2.26, 2.306, 0.819, 85.3, 91.8, 79.6
4992, 1.89, 0.0022321, 2.27, 2.312, 0.818, 85.3, 91.8, 79.6
5120, 1.89, 0.0021429, 2.25, 2.306, 0.821, 85.5, 91.9, 79.9
5248, 1.94, 0.0020536, 2.26, 2.303, 0.819, 85.3, 91.9, 79.6
5376, 1.8, 0.0019643, 2.25, 2.301, 0.82, 85.4, 91.9, 79.8
5504, 1.86, 0.001875, 2.26, 2.297, 0.819, 85.3, 91.8, 79.7
5632, 1.94, 0.0017857, 2.24, 2.297, 0.818, 85.3, 91.9, 79.5
5760, 1.9, 0.0016964, 2.25, 2.287, 0.821, 85.4, 92.2, 79.6
5888, 1.91, 0.0016071, 2.24, 2.287, 0.821, 85.5, 92.2, 79.7
6016, 1.91, 0.0015179, 2.24, 2.287, 0.821, 85.4, 92.2, 79.6
6144, 1.93, 0.0014286, 2.24, 2.284, 0.82, 85.4, 92.2, 79.5
6272, 1.88, 0.0013393, 2.23, 2.284, 0.821, 85.5, 92.3, 79.6
6400, 1.91, 0.00125, 2.23, 2.28, 0.821, 85.4, 92.3, 79.5
6528, 1.92, 0.0011607, 2.23, 2.281, 0.82, 85.4, 92.3, 79.5
6656, 1.9, 0.0010714, 2.23, 2.281, 0.82, 85.4, 92.3, 79.5
6784, 1.91, 0.0009821, 2.24, 2.279, 0.82, 85.4, 92.3, 79.4
6912, 1.9, 0.0008929, 2.22, 2.276, 0.822, 85.5, 92.3, 79.6
7040, 1.88, 0.0008036, 2.23, 2.277, 0.82, 85.4, 92.3, 79.4
7168, 1.9, 0.0007143, 2.22, 2.272, 0.82, 85.4, 92.3, 79.4
7296, 1.93, 0.000625, 2.23, 2.271, 0.82, 85.3, 92.3, 79.3
7424, 1.87, 0.0005357, 2.21, 2.269, 0.82, 85.4, 92.3, 79.4
7552, 1.91, 0.0004464, 2.22, 2.268, 0.819, 85.3, 92.3, 79.3
7680, 1.92, 0.0003571, 2.2, 2.267, 0.82, 85.3, 92.3, 79.3
7808, 1.88, 0.0002679, 2.21, 2.266, 0.819, 85.3, 92.3, 79.3
7936, 1.91, 0.0001786, 2.22, 2.264, 0.82, 85.3, 92.3, 79.3
8064, 1.89, 8.93e-05, 2.21, 2.264, 0.82, 85.3, 92.3, 79.4
8192, 1.9, 0.0, 2.22, 2.263, 0.819, 85.3, 92.3, 79.3
