step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 2.9e-06, n/a, 6.134, 0.041, 16.4, 27.1, 11.7
128, 1.84, 0.000375, 4.97, 4.111, -0.06, 23.1, 18.6, 30.4
256, 1.92, 0.00075, 3.85, 3.697, -0.022, 24.3, 20.6, 29.5
384, 1.91, 0.001125, 3.55, 3.432, 0.023, 27.3, 23.3, 32.8
512, 1.88, 0.0015, 3.31, 3.225, 0.026, 26.6, 23.6, 30.4
640, 1.86, 0.001875, 3.13, 3.168, 0.026, 26.2, 23.7, 29.1
768, 1.88, 0.00225, 3.13, 3.128, -0.058, 17.7, 17.5, 17.8
896, 1.86, 0.002625, 3.03, 2.966, -0.017, 20.7, 20.6, 20.7
1024, 1.92, 0.003, 2.92, 2.97, -0.026, 19.1, 19.9, 18.4
1152, 1.85, 0.0029464, 2.86, 2.853, 0.001, 21.2, 22.0, 20.5
1280, 1.87, 0.0028929, 2.79, 2.782, 0.079, 27.3, 28.5, 26.1
1408, 1.88, 0.0028393, 2.71, 2.733, 0.09, 27.9, 29.4, 26.5
1536, 1.91, 0.0027857, 2.78, 2.817, 0.156, 33.0, 35.0, 31.3
1664, 1.87, 0.0027321, 2.71, 2.763, 0.166, 33.6, 36.1, 31.3
1792, 1.86, 0.0026786, 2.69, 2.692, 0.179, 34.5, 37.3, 32.0
1920, 1.87, 0.002625, 2.64, 2.663, 0.2, 36.3, 38.9, 34.0
2048, 1.87, 0.0025714, 2.62, 2.694, 0.229, 38.6, 41.6, 36.0
2176, 1.86, 0.0025179, 2.6, 2.632, 0.245, 39.8, 42.8, 37.2
2304, 1.86, 0.0024643, 2.55, 2.595, 0.261, 41.2, 44.1, 38.6
2432, 1.88, 0.0024107, 2.53, 2.581, 0.264, 41.3, 44.6, 38.5
2560, 1.88, 0.0023571, 2.51, 2.564, 0.262, 41.1, 44.5, 38.2
2688, 1.9, 0.0023036, 2.51, 2.566, 0.284, 42.9, 46.2, 40.1
2816, 1.87, 0.00225, 2.53, 2.593, 0.299, 44.1, 47.5, 41.1
2944, 1.87, 0.0021964, 2.53, 2.595, 0.344, 47.6, 51.4, 44.4
3072, 1.86, 0.0021429, 2.55, 2.564, 0.34, 46.9, 51.7, 43.0
3200, 1.87, 0.0020893, 2.5, 2.559, 0.389, 50.8, 56.1, 46.4
3328, 1.85, 0.0020357, 2.49, 2.535, 0.42, 53.3, 58.9, 48.7
3456, 1.89, 0.0019821, 2.47, 2.514, 0.43, 53.9, 60.1, 48.9
3584, 1.91, 0.0019286, 2.46, 2.505, 0.451, 55.7, 61.9, 50.6
3712, 1.83, 0.001875, 2.46, 2.502, 0.471, 57.2, 63.7, 52.0
3840, 1.89, 0.0018214, 2.43, 2.47, 0.489, 58.6, 65.6, 52.9
3968, 1.86, 0.0017679, 2.42, 2.483, 0.511, 60.4, 67.4, 54.8
4096, 1.88, 0.0017143, 2.42, 2.47, 0.514, 60.6, 67.8, 54.8
4224, 1.86, 0.0016607, 2.38, 2.455, 0.522, 61.2, 68.5, 55.3
4352, 1.87, 0.0016071, 2.39, 2.442, 0.532, 62.1, 69.1, 56.3
4480, 1.86, 0.0015536, 2.39, 2.428, 0.542, 62.9, 70.1, 57.1
4608, 1.85, 0.0015, 2.35, 2.418, 0.547, 63.3, 70.4, 57.5
4736, 1.89, 0.0014464, 2.35, 2.414, 0.55, 63.5, 70.6, 57.7
4864, 1.86, 0.0013929, 2.35, 2.42, 0.566, 64.8, 72.1, 58.9
4992, 1.87, 0.0013393, 2.37, 2.398, 0.584, 66.2, 73.7, 60.1
5120, 1.89, 0.0012857, 2.33, 2.385, 0.579, 65.7, 73.5, 59.5
5248, 1.86, 0.0012321, 2.34, 2.397, 0.585, 66.2, 73.9, 60.0
5376, 1.83, 0.0011786, 2.34, 2.405, 0.588, 66.5, 74.1, 60.3
5504, 1.88, 0.001125, 2.33, 2.389, 0.589, 66.6, 74.5, 60.1
5632, 1.85, 0.0010714, 2.32, 2.38, 0.597, 67.2, 75.0, 60.9
5760, 1.89, 0.0010179, 2.31, 2.354, 0.594, 66.9, 74.9, 60.5
5888, 1.84, 0.0009643, 2.28, 2.35, 0.598, 67.3, 75.0, 61.1
6016, 1.89, 0.0009107, 2.3, 2.34, 0.599, 67.4, 75.2, 61.1
6144, 1.84, 0.0008571, 2.27, 2.333, 0.6, 67.5, 75.3, 61.1
6272, 1.84, 0.0008036, 2.27, 2.328, 0.599, 67.4, 75.3, 60.9
6400, 1.88, 0.00075, 2.26, 2.313, 0.604, 67.8, 75.6, 61.5
6528, 1.85, 0.0006964, 2.25, 2.313, 0.6, 67.4, 75.5, 60.9
6656, 1.88, 0.0006429, 2.26, 2.312, 0.608, 68.1, 75.8, 61.8
6784, 1.86, 0.0005893, 2.24, 2.314, 0.604, 67.7, 75.7, 61.3
6912, 1.87, 0.0005357, 2.24, 2.306, 0.608, 68.2, 75.9, 61.9
7040, 1.86, 0.0004821, 2.24, 2.305, 0.605, 67.9, 75.8, 61.4
7168, 1.88, 0.0004286, 2.24, 2.31, 0.607, 68.0, 75.9, 61.5
7296, 1.88, 0.000375, 2.23, 2.303, 0.608, 68.1, 75.9, 61.7
