step, s/batch, lr, train_loss, dev_loss, mcc, f1, precision, recall
0, n/a, 1e-06, n/a, 6.091, -0.01, 12.5, 20.6, 8.9
128, 1.81, 0.000125, 5.37, 4.421, 0.061, 27.4, 26.5, 28.3
256, 1.88, 0.00025, 4.17, 3.959, 0.305, 45.4, 46.5, 44.4
384, 1.87, 0.000375, 3.79, 3.657, 0.536, 64.0, 62.9, 65.1
512, 1.86, 0.0005, 3.53, 3.431, 0.634, 71.7, 69.4, 74.1
640, 1.83, 0.000625, 3.34, 3.25, 0.699, 76.8, 71.6, 82.7
768, 1.87, 0.00075, 3.18, 3.093, 0.735, 79.4, 73.4, 86.6
896, 1.86, 0.000875, 3.01, 2.964, 0.759, 81.3, 75.0, 88.7
1024, 1.88, 0.001, 2.9, 2.855, 0.778, 82.7, 76.4, 90.2
1152, 1.85, 0.0009821, 2.79, 2.764, 0.792, 83.8, 77.7, 91.0
1280, 1.88, 0.0009643, 2.73, 2.703, 0.798, 84.2, 78.2, 91.2
1408, 1.82, 0.0009464, 2.67, 2.681, 0.804, 84.8, 78.9, 91.5
1536, 1.88, 0.0009286, 2.62, 2.621, 0.808, 85.0, 79.3, 91.7
1664, 1.87, 0.0009107, 2.58, 2.596, 0.81, 85.2, 79.2, 92.1
1792, 1.84, 0.0008929, 2.57, 2.569, 0.812, 85.4, 79.8, 91.8
1920, 1.85, 0.000875, 2.52, 2.549, 0.813, 85.4, 79.7, 92.1
2048, 1.88, 0.0008571, 2.5, 2.529, 0.816, 85.6, 80.2, 91.9
2176, 1.85, 0.0008393, 2.51, 2.515, 0.816, 85.7, 80.2, 92.0
2304, 1.83, 0.0008214, 2.48, 2.499, 0.818, 85.8, 80.4, 92.0
2432, 1.9, 0.0008036, 2.46, 2.489, 0.819, 85.9, 80.5, 92.0
2560, 1.88, 0.0007857, 2.45, 2.487, 0.82, 86.0, 80.9, 91.8
2688, 1.87, 0.0007679, 2.45, 2.469, 0.82, 86.0, 80.8, 92.0
2816, 1.85, 0.00075, 2.44, 2.459, 0.821, 86.1, 80.9, 92.0
2944, 1.85, 0.0007321, 2.43, 2.449, 0.821, 86.1, 80.9, 92.0
3072, 1.89, 0.0007143, 2.42, 2.439, 0.821, 86.1, 81.0, 91.9
3200, 1.87, 0.0006964, 2.41, 2.436, 0.823, 86.2, 81.1, 92.1
3328, 1.85, 0.0006786, 2.4, 2.425, 0.822, 86.2, 81.2, 91.8
3456, 1.85, 0.0006607, 2.39, 2.428, 0.822, 86.2, 81.3, 91.6
3584, 1.87, 0.0006429, 2.39, 2.426, 0.821, 86.1, 81.5, 91.3
3712, 1.85, 0.000625, 2.38, 2.43, 0.824, 86.3, 81.2, 92.0
3840, 1.88, 0.0006071, 2.37, 2.411, 0.824, 86.3, 81.4, 91.8
3968, 1.83, 0.0005893, 2.38, 2.406, 0.824, 86.3, 81.5, 91.7
4096, 1.87, 0.0005714, 2.36, 2.403, 0.823, 86.3, 81.5, 91.6
4224, 1.84, 0.0005536, 2.36, 2.397, 0.824, 86.3, 81.6, 91.6
4352, 1.9, 0.0005357, 2.37, 2.398, 0.824, 86.3, 81.5, 91.8
4480, 1.91, 0.0005179, 2.36, 2.394, 0.826, 86.4, 81.7, 91.8
4608, 1.88, 0.0005, 2.34, 2.389, 0.826, 86.5, 81.8, 91.8
4736, 1.92, 0.0004821, 2.34, 2.387, 0.826, 86.5, 81.8, 91.7
4864, 1.86, 0.0004643, 2.35, 2.388, 0.826, 86.5, 81.9, 91.6
4992, 1.86, 0.0004464, 2.34, 2.386, 0.827, 86.5, 81.9, 91.7
5120, 1.91, 0.0004286, 2.34, 2.378, 0.826, 86.5, 81.9, 91.6
5248, 1.87, 0.0004107, 2.33, 2.375, 0.828, 86.6, 82.0, 91.8
5376, 1.9, 0.0003929, 2.33, 2.372, 0.827, 86.5, 81.9, 91.7
5504, 1.91, 0.000375, 2.32, 2.372, 0.827, 86.5, 82.0, 91.6
5632, 1.89, 0.0003571, 2.32, 2.367, 0.826, 86.5, 82.1, 91.4
5760, 1.91, 0.0003393, 2.33, 2.365, 0.827, 86.6, 82.1, 91.6
5888, 1.88, 0.0003214, 2.33, 2.367, 0.828, 86.6, 82.1, 91.7
6016, 1.88, 0.0003036, 2.31, 2.366, 0.827, 86.6, 82.0, 91.6
6144, 1.9, 0.0002857, 2.32, 2.363, 0.828, 86.6, 82.1, 91.6
6272, 1.9, 0.0002679, 2.32, 2.359, 0.828, 86.6, 82.1, 91.7
6400, 1.89, 0.00025, 2.31, 2.357, 0.828, 86.6, 82.1, 91.6
6528, 1.87, 0.0002321, 2.3, 2.358, 0.828, 86.6, 82.2, 91.6
6656, 1.87, 0.0002143, 2.31, 2.353, 0.828, 86.6, 82.1, 91.7
6784, 1.9, 0.0001964, 2.3, 2.352, 0.828, 86.6, 82.1, 91.7
6912, 1.9, 0.0001786, 2.31, 2.351, 0.828, 86.6, 82.1, 91.6
7040, 1.87, 0.0001607, 2.3, 2.351, 0.828, 86.6, 82.1, 91.6
7168, 1.9, 0.0001429, 2.31, 2.348, 0.827, 86.6, 82.1, 91.5
7296, 1.87, 0.000125, 2.3, 2.349, 0.828, 86.6, 82.2, 91.6
7424, 1.89, 0.0001071, 2.3, 2.348, 0.828, 86.6, 82.1, 91.6
7552, 1.91, 8.93e-05, 2.3, 2.348, 0.828, 86.6, 82.2, 91.6
7680, 1.87, 7.14e-05, 2.3, 2.346, 0.828, 86.6, 82.2, 91.6
7808, 1.91, 5.36e-05, 2.3, 2.347, 0.828, 86.6, 82.1, 91.6
7936, 1.87, 3.57e-05, 2.29, 2.345, 0.828, 86.6, 82.2, 91.6
8064, 1.88, 1.79e-05, 2.29, 2.344, 0.828, 86.6, 82.1, 91.6
8192, 1.91, 0.0, 2.29, 2.344, 0.828, 86.6, 82.1, 91.5
